datetime,ip,position,temperature-probe,temperature-usb,color
2025-05-21-11-05,10.9.1.65,157-001-002,3.31C,5.50C,cyan
2025-05-21-11-05,10.9.1.66,157-001-003,3.25C,5.31C,cyan
2025-05-21-11-05,10.9.1.67,157-001-004,3.81C,6.68C,cyan
2025-05-21-11-05,10.9.1.68,157-002-001,3.37C,5.87C,cyan
2025-05-21-11-05,10.9.1.70,157-002-003,3.43C,5.37C,cyan
2025-05-21-11-05,10.9.1.71,157-002-004,3.31C,7.43C,cyan
2025-05-21-11-06,10.9.1.64,157-001-001,3.00C,4.50C,cyan
2025-05-21-11-06,10.9.1.65,157-001-002,3.25C,5.50C,cyan
2025-05-21-11-06,10.9.1.66,157-001-003,3.25C,5.37C,cyan
2025-05-21-11-06,10.9.1.67,157-001-004,3.81C,6.68C,cyan
2025-05-21-11-06,10.9.1.68,157-002-001,3.37C,5.87C,cyan
2025-05-21-11-06,10.9.1.70,157-002-003,3.43C,5.43C,cyan
2025-05-21-11-06,10.9.1.71,157-002-004,3.31C,7.43C,cyan
2025-05-21-11-07,10.9.1.64,157-001-001,3.31C,4.62C,cyan
2025-05-21-11-07,10.9.1.65,157-001-002,3.81C,5.50C,cyan
2025-05-21-11-07,10.9.1.66,157-001-003,3.50C,5.43C,cyan
2025-05-21-11-07,10.9.1.67,157-001-004,4.00C,6.75C,cyan
2025-05-21-11-07,10.9.1.68,157-002-001,3.62C,5.87C,cyan
2025-05-21-11-07,10.9.1.70,157-002-003,3.75C,5.50C,cyan
2025-05-21-11-07,10.9.1.71,157-002-004,3.56C,7.43C,cyan
2025-05-21-11-08,10.9.1.64,157-001-001,3.68C,4.87C,cyan
2025-05-21-11-08,10.9.1.65,157-001-002,4.18C,5.56C,cyan
2025-05-21-11-08,10.9.1.66,157-001-003,4.06C,5.50C,cyan
2025-05-21-11-08,10.9.1.67,157-001-004,4.31C,6.81C,cyan
2025-05-21-11-08,10.9.1.68,157-002-001,4.06C,6.12C,cyan
2025-05-21-11-08,10.9.1.70,157-002-003,4.37C,5.75C,cyan
2025-05-21-11-08,10.9.1.71,157-002-004,3.93C,7.50C,cyan
2025-05-21-11-09,10.9.1.64,157-001-001,4.12C,5.00C,cyan
2025-05-21-11-09,10.9.1.65,157-001-002,4.68C,5.87C,cyan
2025-05-21-11-09,10.9.1.66,157-001-003,4.37C,5.87C,cyan
2025-05-21-11-09,10.9.1.67,157-001-004,4.81C,6.93C,cyan
2025-05-21-11-09,10.9.1.68,157-002-001,4.43C,6.37C,cyan
2025-05-21-11-09,10.9.1.70,157-002-003,4.75C,6.00C,cyan
2025-05-21-11-09,10.9.1.71,157-002-004,4.43C,7.62C,cyan
2025-05-21-11-10,10.9.1.64,157-001-001,4.37C,5.31C,cyan
2025-05-21-11-10,10.9.1.65,157-001-002,5.00C,6.06C,cyan
2025-05-21-11-10,10.9.1.66,157-001-003,4.68C,6.18C,cyan
2025-05-21-11-10,10.9.1.67,157-001-004,5.12C,7.18C,cyan
2025-05-21-11-10,10.9.1.68,157-002-001,4.56C,6.62C,cyan
2025-05-21-11-10,10.9.1.70,157-002-003,5.06C,6.25C,cyan
2025-05-21-11-10,10.9.1.71,157-002-004,4.68C,7.87C,cyan
2025-05-21-11-11,10.9.1.64,157-001-001,4.50C,5.43C,cyan
2025-05-21-11-11,10.9.1.65,157-001-002,5.25C,6.31C,cyan
2025-05-21-11-11,10.9.1.66,157-001-003,4.68C,6.43C,cyan
2025-05-21-11-11,10.9.1.67,157-001-004,5.43C,7.43C,cyan
2025-05-21-11-11,10.9.1.68,157-002-001,4.81C,6.81C,cyan
2025-05-21-11-11,10.9.1.70,157-002-003,5.06C,6.56C,cyan
2025-05-21-11-11,10.9.1.71,157-002-004,4.68C,7.87C,cyan
2025-05-21-11-12,10.9.1.64,157-001-001,4.81C,5.75C,cyan
2025-05-21-11-12,10.9.1.65,157-001-002,5.25C,6.50C,cyan
2025-05-21-11-12,10.9.1.66,157-001-003,5.00C,6.50C,cyan
2025-05-21-11-12,10.9.1.67,157-001-004,5.43C,7.62C,cyan
2025-05-21-11-12,10.9.1.68,157-002-001,5.06C,7.06C,cyan
2025-05-21-11-12,10.9.1.70,157-002-003,5.18C,6.56C,cyan
2025-05-21-11-12,10.9.1.71,157-002-004,4.93C,8.00C,cyan
2025-05-21-11-13,10.9.1.64,157-001-001,4.81C,5.93C,black
2025-05-21-11-13,10.9.1.65,157-001-002,5.50C,6.50C,black
2025-05-21-11-13,10.9.1.66,157-001-003,5.12C,6.81C,black
2025-05-21-11-13,10.9.1.67,157-001-004,5.62C,7.62C,black
2025-05-21-11-13,10.9.1.68,157-002-001,5.06C,7.18C,black
2025-05-21-11-13,10.9.1.70,157-002-003,5.31C,6.62C,black
2025-05-21-11-13,10.9.1.71,157-002-004,5.00C,8.18C,black
2025-05-21-11-14,10.9.1.64,157-001-001,5.00C,6.06C,black
2025-05-21-11-14,10.9.1.65,157-001-002,5.68C,6.68C,black
2025-05-21-11-14,10.9.1.66,157-001-003,5.31C,6.93C,black
2025-05-21-11-14,10.9.1.67,157-001-004,5.81C,7.87C,black
2025-05-21-11-14,10.9.1.68,157-002-001,5.18C,7.18C,black
2025-05-21-11-14,10.9.1.70,157-002-003,5.43C,6.87C,black
2025-05-21-11-14,10.9.1.71,157-002-004,5.12C,8.31C,black
2025-05-21-11-15,10.9.1.64,157-001-001,5.12C,6.12C,black
2025-05-21-11-15,10.9.1.65,157-001-002,5.68C,6.87C,black
2025-05-21-11-15,10.9.1.66,157-001-003,5.43C,7.12C,black
2025-05-21-11-15,10.9.1.67,157-001-004,5.81C,8.00C,black
2025-05-21-11-15,10.9.1.68,157-002-001,5.25C,7.43C,black
2025-05-21-11-15,10.9.1.70,157-002-003,5.56C,7.00C,black
2025-05-21-11-15,10.9.1.71,157-002-004,5.25C,8.43C,black
2025-05-21-11-16,10.9.1.64,157-001-001,5.31C,6.31C,black
2025-05-21-11-16,10.9.1.65,157-001-002,5.81C,7.00C,black
2025-05-21-11-16,10.9.1.66,157-001-003,5.50C,7.12C,black
2025-05-21-11-16,10.9.1.67,157-001-004,5.87C,8.06C,black
2025-05-21-11-16,10.9.1.68,157-002-001,5.37C,7.62C,black
2025-05-21-11-16,10.9.1.70,157-002-003,5.68C,7.12C,black
2025-05-21-11-16,10.9.1.71,157-002-004,5.31C,8.50C,black
2025-05-21-11-17,10.9.1.64,157-001-001,5.25C,6.43C,black
2025-05-21-11-17,10.9.1.65,157-001-002,5.87C,7.12C,black
2025-05-21-11-17,10.9.1.66,157-001-003,5.50C,7.31C,black
2025-05-21-11-17,10.9.1.67,157-001-004,6.00C,8.18C,black
2025-05-21-11-17,10.9.1.68,157-002-001,5.50C,7.75C,black
2025-05-21-11-17,10.9.1.70,157-002-003,5.68C,7.25C,black
2025-05-21-11-17,10.9.1.71,157-002-004,5.31C,8.56C,black
2025-05-21-11-18,10.9.1.64,157-001-001,5.31C,6.50C,black
2025-05-21-11-18,10.9.1.65,157-001-002,5.87C,7.12C,black
2025-05-21-11-18,10.9.1.66,157-001-003,5.50C,7.31C,black
2025-05-21-11-18,10.9.1.67,157-001-004,6.00C,8.25C,black
2025-05-21-11-18,10.9.1.68,157-002-001,5.56C,7.81C,black
2025-05-21-11-18,10.9.1.70,157-002-003,5.68C,7.37C,black
2025-05-21-11-18,10.9.1.71,157-002-004,5.31C,8.62C,black
2025-05-21-11-19,10.9.1.64,157-001-001,5.25C,6.62C,black
2025-05-21-11-19,10.9.1.65,157-001-002,5.93C,7.25C,black
2025-05-21-11-19,10.9.1.66,157-001-003,5.50C,7.43C,black
2025-05-21-11-19,10.9.1.67,157-001-004,6.06C,8.37C,black
2025-05-21-11-19,10.9.1.68,157-002-001,5.68C,7.87C,black
2025-05-21-11-19,10.9.1.70,157-002-003,5.68C,7.37C,black
2025-05-21-11-19,10.9.1.71,157-002-004,5.31C,8.68C,black
2025-05-21-11-20,10.9.1.64,157-001-001,5.31C,6.68C,black
2025-05-21-11-20,10.9.1.65,157-001-002,6.00C,7.31C,black
2025-05-21-11-20,10.9.1.66,157-001-003,5.50C,7.43C,black
2025-05-21-11-20,10.9.1.67,157-001-004,6.06C,8.37C,black
2025-05-21-11-20,10.9.1.68,157-002-001,5.68C,8.00C,black
2025-05-21-11-20,10.9.1.70,157-002-003,5.68C,7.37C,black
2025-05-21-11-20,10.9.1.71,157-002-004,5.31C,8.75C,black
2025-05-21-11-21,10.9.1.64,157-001-001,5.43C,6.75C,black
2025-05-21-11-21,10.9.1.65,157-001-002,6.00C,7.37C,black
2025-05-21-11-21,10.9.1.66,157-001-003,5.50C,7.50C,black
2025-05-21-11-21,10.9.1.67,157-001-004,6.12C,8.50C,black
2025-05-21-11-21,10.9.1.68,157-002-001,5.68C,8.00C,black
2025-05-21-11-21,10.9.1.70,157-002-003,5.68C,7.37C,black
2025-05-21-11-21,10.9.1.71,157-002-004,5.31C,8.81C,black
2025-05-21-11-22,10.9.1.64,157-001-001,5.43C,6.87C,black
2025-05-21-11-22,10.9.1.65,157-001-002,6.06C,7.43C,black
2025-05-21-11-22,10.9.1.66,157-001-003,5.50C,7.56C,black
2025-05-21-11-22,10.9.1.67,157-001-004,6.12C,8.50C,black
2025-05-21-11-22,10.9.1.68,157-002-001,5.68C,8.00C,black
2025-05-21-11-22,10.9.1.70,157-002-003,5.68C,7.50C,black
2025-05-21-11-22,10.9.1.71,157-002-004,5.31C,8.87C,black
2025-05-21-11-23,10.9.1.64,157-001-001,5.50C,6.87C,black
2025-05-21-11-23,10.9.1.65,157-001-002,6.12C,7.50C,black
2025-05-21-11-23,10.9.1.66,157-001-003,5.50C,7.62C,black
2025-05-21-11-23,10.9.1.67,157-001-004,6.25C,8.56C,black
2025-05-21-11-23,10.9.1.68,157-002-001,5.68C,8.12C,black
2025-05-21-11-23,10.9.1.70,157-002-003,5.68C,7.50C,black
2025-05-21-11-23,10.9.1.71,157-002-004,5.31C,8.87C,black
2025-05-21-11-24,10.9.1.64,157-001-001,5.56C,6.87C,black
2025-05-21-11-24,10.9.1.65,157-001-002,6.18C,7.50C,black
2025-05-21-11-24,10.9.1.66,157-001-003,5.62C,7.62C,black
2025-05-21-11-24,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-24,10.9.1.68,157-002-001,5.68C,8.18C,black
2025-05-21-11-24,10.9.1.70,157-002-003,5.68C,7.56C,black
2025-05-21-11-24,10.9.1.71,157-002-004,5.31C,8.93C,black
2025-05-21-11-25,10.9.1.64,157-001-001,5.56C,6.87C,black
2025-05-21-11-25,10.9.1.65,157-001-002,6.25C,7.56C,black
2025-05-21-11-25,10.9.1.66,157-001-003,5.68C,7.68C,black
2025-05-21-11-25,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-25,10.9.1.68,157-002-001,5.68C,8.25C,black
2025-05-21-11-25,10.9.1.70,157-002-003,5.68C,7.62C,black
2025-05-21-11-25,10.9.1.71,157-002-004,5.31C,9.00C,black
2025-05-21-11-26,10.9.1.64,157-001-001,5.62C,6.87C,black
2025-05-21-11-26,10.9.1.65,157-001-002,6.25C,7.62C,black
2025-05-21-11-26,10.9.1.66,157-001-003,5.68C,7.68C,black
2025-05-21-11-26,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-26,10.9.1.68,157-002-001,5.68C,8.31C,black
2025-05-21-11-26,10.9.1.70,157-002-003,5.81C,7.68C,black
2025-05-21-11-26,10.9.1.71,157-002-004,5.31C,9.00C,black
2025-05-21-11-27,10.9.1.64,157-001-001,5.62C,6.87C,black
2025-05-21-11-27,10.9.1.65,157-001-002,6.25C,7.62C,black
2025-05-21-11-27,10.9.1.66,157-001-003,5.75C,7.75C,black
2025-05-21-11-27,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-27,10.9.1.68,157-002-001,5.68C,8.31C,black
2025-05-21-11-27,10.9.1.70,157-002-003,5.87C,7.68C,black
2025-05-21-11-27,10.9.1.71,157-002-004,5.43C,9.06C,black
2025-05-21-11-28,10.9.1.64,157-001-001,5.75C,6.87C,black
2025-05-21-11-28,10.9.1.65,157-001-002,6.25C,7.68C,black
2025-05-21-11-28,10.9.1.66,157-001-003,5.81C,7.81C,black
2025-05-21-11-28,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-28,10.9.1.68,157-002-001,5.81C,8.31C,black
2025-05-21-11-28,10.9.1.70,157-002-003,5.93C,7.68C,black
2025-05-21-11-28,10.9.1.71,157-002-004,5.43C,9.12C,black
2025-05-21-11-29,10.9.1.64,157-001-001,5.75C,6.87C,black
2025-05-21-11-29,10.9.1.65,157-001-002,6.25C,7.75C,black
2025-05-21-11-29,10.9.1.66,157-001-003,5.87C,7.81C,black
2025-05-21-11-29,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-29,10.9.1.68,157-002-001,5.87C,8.37C,black
2025-05-21-11-29,10.9.1.70,157-002-003,5.93C,7.68C,black
2025-05-21-11-29,10.9.1.71,157-002-004,5.50C,9.18C,black
2025-05-21-11-30,10.9.1.64,157-001-001,5.75C,6.93C,black
2025-05-21-11-30,10.9.1.65,157-001-002,6.25C,7.75C,black
2025-05-21-11-30,10.9.1.66,157-001-003,5.87C,7.81C,black
2025-05-21-11-30,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-30,10.9.1.68,157-002-001,5.87C,8.37C,black
2025-05-21-11-30,10.9.1.70,157-002-003,5.93C,7.75C,black
2025-05-21-11-30,10.9.1.71,157-002-004,5.50C,9.18C,black
2025-05-21-11-31,10.9.1.64,157-001-001,5.75C,7.00C,black
2025-05-21-11-31,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-31,10.9.1.66,157-001-003,5.81C,7.81C,black
2025-05-21-11-31,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-31,10.9.1.68,157-002-001,5.87C,8.43C,black
2025-05-21-11-31,10.9.1.70,157-002-003,5.87C,7.75C,black
2025-05-21-11-31,10.9.1.71,157-002-004,5.50C,9.18C,black
2025-05-21-11-32,10.9.1.64,157-001-001,5.75C,7.00C,black
2025-05-21-11-32,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-32,10.9.1.66,157-001-003,5.81C,7.81C,black
2025-05-21-11-32,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-32,10.9.1.68,157-002-001,5.87C,8.50C,black
2025-05-21-11-32,10.9.1.70,157-002-003,5.87C,7.75C,black
2025-05-21-11-32,10.9.1.71,157-002-004,5.43C,9.18C,black
2025-05-21-11-33,10.9.1.64,157-001-001,5.75C,7.06C,black
2025-05-21-11-33,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-33,10.9.1.66,157-001-003,5.81C,7.81C,black
2025-05-21-11-33,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-33,10.9.1.68,157-002-001,5.87C,8.50C,black
2025-05-21-11-33,10.9.1.70,157-002-003,5.87C,7.75C,black
2025-05-21-11-33,10.9.1.71,157-002-004,5.43C,9.18C,black
2025-05-21-11-34,10.9.1.64,157-001-001,5.75C,7.00C,black
2025-05-21-11-34,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-34,10.9.1.66,157-001-003,5.75C,7.81C,black
2025-05-21-11-34,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-34,10.9.1.68,157-002-001,5.81C,8.50C,black
2025-05-21-11-34,10.9.1.70,157-002-003,5.81C,7.75C,black
2025-05-21-11-34,10.9.1.71,157-002-004,5.37C,9.18C,black
2025-05-21-11-35,10.9.1.64,157-001-001,5.68C,7.06C,black
2025-05-21-11-35,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-35,10.9.1.66,157-001-003,5.75C,7.81C,black
2025-05-21-11-35,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-35,10.9.1.68,157-002-001,5.81C,8.50C,black
2025-05-21-11-35,10.9.1.70,157-002-003,5.81C,7.75C,black
2025-05-21-11-35,10.9.1.71,157-002-004,5.31C,9.18C,black
2025-05-21-11-36,10.9.1.64,157-001-001,5.68C,7.00C,black
2025-05-21-11-36,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-36,10.9.1.66,157-001-003,5.68C,7.81C,black
2025-05-21-11-36,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-36,10.9.1.68,157-002-001,5.81C,8.50C,black
2025-05-21-11-36,10.9.1.70,157-002-003,5.75C,7.75C,black
2025-05-21-11-36,10.9.1.71,157-002-004,5.31C,9.18C,black
2025-05-21-11-37,10.9.1.64,157-001-001,5.68C,7.00C,black
2025-05-21-11-37,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-37,10.9.1.66,157-001-003,5.68C,7.81C,black
2025-05-21-11-37,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-37,10.9.1.68,157-002-001,5.87C,8.50C,black
2025-05-21-11-37,10.9.1.70,157-002-003,5.81C,7.75C,black
2025-05-21-11-37,10.9.1.71,157-002-004,5.31C,9.18C,black
2025-05-21-11-38,10.9.1.64,157-001-001,5.68C,7.00C,black
2025-05-21-11-38,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-38,10.9.1.66,157-001-003,5.68C,7.81C,black
2025-05-21-11-38,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-38,10.9.1.68,157-002-001,5.93C,8.50C,black
2025-05-21-11-38,10.9.1.70,157-002-003,5.81C,7.75C,black
2025-05-21-11-38,10.9.1.71,157-002-004,5.31C,9.18C,black
2025-05-21-11-39,10.9.1.64,157-001-001,5.75C,7.00C,black
2025-05-21-11-39,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-39,10.9.1.66,157-001-003,5.75C,7.81C,black
2025-05-21-11-39,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-39,10.9.1.68,157-002-001,5.87C,8.50C,black
2025-05-21-11-39,10.9.1.70,157-002-003,5.87C,7.75C,black
2025-05-21-11-39,10.9.1.71,157-002-004,5.37C,9.18C,black
2025-05-21-11-40,10.9.1.64,157-001-001,5.68C,7.00C,black
2025-05-21-11-40,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-40,10.9.1.66,157-001-003,5.75C,7.81C,black
2025-05-21-11-40,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-40,10.9.1.68,157-002-001,5.87C,8.50C,black
2025-05-21-11-40,10.9.1.70,157-002-003,5.87C,7.75C,black
2025-05-21-11-40,10.9.1.71,157-002-004,5.37C,9.18C,black
2025-05-21-11-41,10.9.1.64,157-001-001,5.75C,7.06C,black
2025-05-21-11-41,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-41,10.9.1.66,157-001-003,5.75C,7.81C,black
2025-05-21-11-41,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-41,10.9.1.68,157-002-001,5.87C,8.50C,black
2025-05-21-11-41,10.9.1.70,157-002-003,5.87C,7.75C,black
2025-05-21-11-41,10.9.1.71,157-002-004,5.37C,9.18C,black
2025-05-21-11-42,10.9.1.64,157-001-001,5.75C,7.00C,black
2025-05-21-11-42,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-42,10.9.1.66,157-001-003,5.75C,7.81C,black
2025-05-21-11-42,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-42,10.9.1.68,157-002-001,5.87C,8.50C,black
2025-05-21-11-42,10.9.1.70,157-002-003,5.87C,7.81C,black
2025-05-21-11-42,10.9.1.71,157-002-004,5.43C,9.18C,black
2025-05-21-11-43,10.9.1.64,157-001-001,5.75C,7.06C,black
2025-05-21-11-43,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-43,10.9.1.66,157-001-003,5.75C,7.81C,black
2025-05-21-11-43,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-43,10.9.1.68,157-002-001,5.93C,8.50C,black
2025-05-21-11-43,10.9.1.70,157-002-003,5.87C,7.81C,black
2025-05-21-11-43,10.9.1.71,157-002-004,5.43C,9.18C,black
2025-05-21-11-44,10.9.1.64,157-001-001,5.81C,7.06C,black
2025-05-21-11-44,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-44,10.9.1.66,157-001-003,5.81C,7.81C,black
2025-05-21-11-44,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-44,10.9.1.68,157-002-001,5.93C,8.50C,black
2025-05-21-11-44,10.9.1.70,157-002-003,5.93C,7.81C,black
2025-05-21-11-44,10.9.1.71,157-002-004,5.50C,9.18C,black
2025-05-21-11-45,10.9.1.64,157-001-001,5.81C,7.06C,black
2025-05-21-11-45,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-45,10.9.1.66,157-001-003,5.87C,7.81C,black
2025-05-21-11-45,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-45,10.9.1.68,157-002-001,5.93C,8.56C,black
2025-05-21-11-45,10.9.1.70,157-002-003,5.93C,7.81C,black
2025-05-21-11-45,10.9.1.71,157-002-004,5.50C,9.18C,black
2025-05-21-11-46,10.9.1.64,157-001-001,5.81C,7.06C,black
2025-05-21-11-46,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-46,10.9.1.66,157-001-003,5.87C,7.81C,black
2025-05-21-11-46,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-46,10.9.1.68,157-002-001,5.93C,8.50C,black
2025-05-21-11-46,10.9.1.70,157-002-003,5.93C,7.81C,black
2025-05-21-11-46,10.9.1.71,157-002-004,5.50C,9.18C,black
2025-05-21-11-47,10.9.1.64,157-001-001,5.81C,7.06C,black
2025-05-21-11-47,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-47,10.9.1.66,157-001-003,5.81C,7.81C,black
2025-05-21-11-47,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-47,10.9.1.68,157-002-001,5.93C,8.56C,black
2025-05-21-11-47,10.9.1.70,157-002-003,5.93C,7.81C,black
2025-05-21-11-47,10.9.1.71,157-002-004,5.50C,9.18C,black
2025-05-21-11-48,10.9.1.64,157-001-001,5.81C,7.06C,black
2025-05-21-11-48,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-48,10.9.1.66,157-001-003,5.81C,7.81C,black
2025-05-21-11-48,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-48,10.9.1.68,157-002-001,5.93C,8.56C,black
2025-05-21-11-48,10.9.1.70,157-002-003,5.93C,7.81C,black
2025-05-21-11-48,10.9.1.71,157-002-004,5.56C,9.18C,black
2025-05-21-11-49,10.9.1.64,157-001-001,5.81C,7.06C,black
2025-05-21-11-49,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-49,10.9.1.66,157-001-003,5.87C,7.81C,black
2025-05-21-11-49,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-49,10.9.1.68,157-002-001,5.93C,8.56C,black
2025-05-21-11-49,10.9.1.70,157-002-003,5.93C,7.81C,black
2025-05-21-11-49,10.9.1.71,157-002-004,5.56C,9.18C,black
2025-05-21-11-50,10.9.1.64,157-001-001,5.81C,7.06C,black
2025-05-21-11-50,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-50,10.9.1.66,157-001-003,5.87C,7.81C,black
2025-05-21-11-50,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-50,10.9.1.68,157-002-001,5.93C,8.56C,black
2025-05-21-11-50,10.9.1.70,157-002-003,5.93C,7.81C,black
2025-05-21-11-50,10.9.1.71,157-002-004,5.56C,9.18C,black
2025-05-21-11-51,10.9.1.64,157-001-001,5.81C,7.06C,black
2025-05-21-11-51,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-51,10.9.1.66,157-001-003,5.93C,7.81C,black
2025-05-21-11-51,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-51,10.9.1.68,157-002-001,5.93C,8.56C,black
2025-05-21-11-51,10.9.1.70,157-002-003,5.93C,7.87C,black
2025-05-21-11-51,10.9.1.71,157-002-004,5.62C,9.18C,black
2025-05-21-11-52,10.9.1.64,157-001-001,5.81C,7.12C,black
2025-05-21-11-52,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-52,10.9.1.66,157-001-003,5.93C,7.81C,black
2025-05-21-11-52,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-52,10.9.1.68,157-002-001,5.93C,8.56C,black
2025-05-21-11-52,10.9.1.70,157-002-003,6.00C,7.81C,black
2025-05-21-11-52,10.9.1.71,157-002-004,5.62C,9.18C,black
2025-05-21-11-53,10.9.1.64,157-001-001,5.81C,7.12C,black
2025-05-21-11-53,10.9.1.65,157-001-002,6.25C,7.81C,black
2025-05-21-11-53,10.9.1.66,157-001-003,5.93C,7.81C,black
2025-05-21-11-53,10.9.1.67,157-001-004,6.25C,8.62C,black
2025-05-21-11-53,10.9.1.68,157-002-001,6.00C,8.56C,black
2025-05-21-11-53,10.9.1.70,157-002-003,6.00C,7.87C,black
2025-05-21-11-53,10.9.1.71,157-002-004,5.62C,9.18C,black